Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Projects | Project Management,1,"Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region",,,,https://iworkfor.nsw.gov.au/job/senior-project-officer-111289,Full-Time,000066B3,02 4321 5403 - Alison Walker,"Salary range ($105,409 - $116,157) plus employers contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Better Regulation Division,Senior Project Officer
Pathology | Hospital Scientist,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/senior-hospital-scientist-bacteriology-111300,Full-Time,REQ40997,,"$95,335.47 - $101,262.95",,31/05/2018 - 11:59 PM,NSW Health Pathology,Senior Hospital Scientist - Bacteriology
Health - Allied | Occupational Therapy,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,,,,https://iworkfor.nsw.gov.au/job/paediatric-occupational-therapist-lvl-4-port-macquarie-temp-part-time-111266,Part-Time,REQ37228,,"$103,441.00 - $106,026.00",,31/05/2018 - 11:59 PM,Mid North Coast Local Health District,Paediatric Occupational Therapist.Lvl 4 - Port Macquarie - Temp Part Time
Nursing and Midwifery | Nurse Educator,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/st-george-hospital-nurse-educator-grade-2-nursing-staff-development-111265,Part-Time,REQ39949,,"$111,667.36 - $113,884.95",,03/06/2018 - 11:59 PM,South Eastern Sydney Local Health District,St George Hospital Nurse Educator Grade 2 - Nursing Staff Development
Trades and Services | Facilities Management,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/project-manager-building-facilities-111260,Full-Time,000066Y8,02 8239 2231 - Rajkumari Navis,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Sydney Living Museums,Project Manager - Building & Facilities
Nursing and Midwifery | Clinical Nurse Consultant,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/cnc-paediatric-networking-location-negotiable-within-mnclhd-perm-part-time-111270,Part-Time,REQ43257,,"$111,667.36 - $113,884.95",,31/05/2018 - 11:59 PM,Mid North Coast Local Health District,CNC - Paediatric Networking - Location Negotiable within MNCLHD - Perm Part Time
,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/deputy-quality-systems-complaints-manager-site-negotiable-111279,Full-Time,REQ43333,,"$93,099.00 - $110,422.00",,07/06/2018 - 11:59 PM,Murrumbidgee Local Health District,Deputy Quality Systems & Complaints Manager - Site Negotiable
Marketing & Communications | Public Relations and Corporate Affairs,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/senior-communications-adviser-health-manager-lvl-2-liverpool-hospital-perm-f-t-111276,Full-Time,REQ42805,,"$93,099.00 - $110,422.00",,24/05/2018 - 11:59 PM,South Western Sydney Local Health District,Senior Communications Adviser (Health Manager Lvl 2) - Liverpool Hospital - Perm F/T
Administration and Clerical,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/project-officer-111253,Full-Time,000066CA,02 8281 6489 - Annette Farrell,"Salary range ($92,470 to $102,359 ) plus employers contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Workers Compensation Commission,Project Officer
Education And/Or Training,1,"Central & North Coasts - Newcastle & Hunter Valley|| Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/professional-officer-policy-and-issues-north-region-111254,Full-Time,000066YR,(02) 8233 2274 - Carol Smith,"$111,030. Package includes salary ($93,012 - $100,163) employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,TAFE Commission,Professional Officer Policy and Issues (North Region)
Sales and Marketing | Market Research,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-business-intelligence-analyst-111203,Full-Time,000066XR,recruitment@sydneyoperahouse.com - Andy Palmer,"Base salary of $106,573 per annum plus 9.5% superannuation. In accordance with rates of pay, as of the 13th July 2018 you will receive a 2.5% salary increase.",,06/06/2018 - 11:59 PM,Sydney Opera House Trust,Senior Business Intelligence Analyst
Accounting and Financial | Financial Analysis/Research/Reporting,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/finance-officer-111252,Full-Time,0000666S,02 4063 6604 - Alex Tutt-Branco,"Up to $113,464. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Resources and Regulator General Central Coast,Finance Officer
Environmental | Specialist Manager,1,Sydney Region / Sydney - South,,,,https://iworkfor.nsw.gov.au/job/manager-precinct-planning-and-commercial-development-108834,Full-Time,00005WKP,(02) 9995 6127 - Cherie Pittman,"Up to $156,294 pa Package includes salary ($121,917 pa - $140,996 pa), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,Parks Programs,"Manager, Precinct Planning and Commercial Development"
Patient Support Services | Support Services,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/district-sterilisation-manager-wagga-wagga-district-office-111251,Full-Time,REQ42770,,"$108,255.00 - $123,411.00",,07/06/2018 - 11:59 PM,Murrumbidgee Local Health District,District Sterilisation Manager - Wagga Wagga District Office
Nursing and Midwifery | Nurse Manager,1,Regional NSW / Bathurst & Central West NSW,,,,https://iworkfor.nsw.gov.au/job/nurse-manager-111250,Full-Time,REQ41641,,"$111,667.36 - $113,884.95",,03/06/2018 - 11:59 PM,Western NSW Local Health District,Nurse Manager
Projects | Project Management,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/project-engineer-111241,Full-Time,000065ZX,0428 320 170 - Sidney Pope,"RMS USS Grade 1-2 ($87,459 - $115,947), plus employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Regional & Freight,Project Engineer
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-grade-1-chemical-use-in-pregnancy-drug-and-alcohol-consultation-and-liaison-107629,Full-Time,REQ32370,,"$107,305.23 - $109,496.73",,31/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Clinical Nurse Consultant Grade 1 Chemical Use in Pregnancy Drug and Alcohol Consultation and Liaison
Information and Communications Technology | IT Professional,2,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/senior-network-administrator-111234,Full-Time,000065I7,jay.huntley@facs.nsw.gov.au - Jay Huntley,"($105, 409 - $116,157), employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Senior Network Administrator
Customer Services and Call Centre | Call Centre Services,1,Sydney Region / Sydney - Inner West,,,,https://iworkfor.nsw.gov.au/job/solutions-centre-transactional-delivery-manager-111235,Full-Time,0000666J,02 8574 3420 - Vanan Periasamy,"Transport Service Grade 9 ($126,194 - $141,336), plus employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,People and Corporate Services,Solutions Centre Transactional Delivery Manager
Health - Allied | Podiatrist,1,Regional NSW / Dubbo & West NSW,,,,https://iworkfor.nsw.gov.au/job/senior-podiatrist-high-risk-foot-clinic-102666,Full-Time,REQ24032,,"$103,441.00 - $106,026.00",,17/06/2018 - 11:59 PM,Western NSW Local Health District,Senior Podiatrist - High Risk Foot Clinic
Engineering | Maintenance,1,Regional NSW / Riverina & Murray,,,,https://iworkfor.nsw.gov.au/job/project-officer-111229,Full-Time,000065ZY,0428 320 170 - Sidney Pope,"RMS USS Grade 8 ($94,808 - $101,738), plus employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Regional & Freight,Project Officer
Education And/Or Training,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/curriculum-development-manager-product-manager-resources-infrastructure-and-civil-construction-109884,Full-Time,0000660S,02 8233 2228 - Annabel Hooton,"$144,531. Package includes salary ($130,385), employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,TAFE Commission,"Curriculum Development Manager | Product Manager  Resources, Infrastructure and Civil Construction"
Education And/Or Training,1,Statewide,,,,https://iworkfor.nsw.gov.au/job/pathway-specialist-vet-education-and-training-group-111190,Full-Time,000066WX,02 8233 2276 - Stephanie Rutherford,"$132,891. Package includes salary ($116,988 - $119,884), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,TAFE Commission,Pathway Specialist VET (Education and Training Group)
Projects | Project Management,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/erp-projects-officer-clerk-grade-7-8-digital-and-technology-services-department-of-justice-111226,Full-Time,00005PDI,02 8688 7202 or jane.yan@justice.nsw.gov.au - Jane Yan,"Maximum Total Remuneration Package: $113,454. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Corporate Services,"ERP Projects Officer, Clerk Grade 7/8, Digital and Technology Services, Department of Justice"
Senior Executive,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/manager-cancer-services-and-innovation-site-negotiable-111228,Full-Time,REQ42659,,"$121,246.00 - $145,063.00",,07/06/2018 - 11:59 PM,Murrumbidgee Local Health District,Manager Cancer Services and Innovation - Site Negotiable
Nursing and Midwifery | Nurse Manager,1,Regional NSW / Riverina & Murray,,,,https://iworkfor.nsw.gov.au/job/patient-flow-nurse-coordinator-wagga-wagga-111220,Casual,REQ42486,,"$111,667.36 - $113,884.95",,06/06/2018 - 11:59 PM,Murrumbidgee Local Health District,Patient Flow Nurse Coordinator - Wagga Wagga
Education And/Or Training,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/business-manager-clerk-grade-7-8-200503-111219,Full-Time,000065WU,(02) 9604 4002 - John Massard,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Department of Education,Business Manager - Clerk Grade 7/8 - 200503
Engineering,1,Illawarra & South Coast / Wollongong & The South Coast,,,,https://iworkfor.nsw.gov.au/job/materials-scientist-111209,Full-Time,000064C8,0437 032 980 - Ian Allan,"RMS USS 5  8 ($73,901  $101,738), plus employer's contribution to superannuation and annual leave loading.",,01/06/2018 - 11:59 PM,Technical & Project Services,Materials Scientist
Human Resources and Recruitment,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/inclusion-diversity-officer-111210,Full-Time,0000667J,02 9265 3912 - Sonja Braidner,"$113,465. Package includes salary ($92,470 - $102,359), employers contribution to superannuation and annual leave loading",,31/05/2018 - 11:59 PM,People & Culture,Inclusion & Diversity Officer
Engineering,1,Regional NSW / Dubbo & West NSW,,,,https://iworkfor.nsw.gov.au/job/lead-road-designer-111211,Full-Time,000065M8,0408 421 427 - Dwayne Woods,"RMS USS Grade 8 - 9 ($94,808 - $114,402), plus employer's contribution to superannuation and annual leave loading.",,31/05/2018 - 11:59 PM,Technical & Project Services,Lead Road Designer
Schools | TCH Other,1,Sydney Region,Northern Beaches,Willoughby Public School,North Sydney,https://iworkfor.nsw.gov.au/job/principal-level-p3-willoughby-public-school-111205,,000066Y2,02 9886 7000 - Sharon Sands,"The total remuneration package will be $182,747.00. This classification attracts a base salary of $165,164.00.",1.000,30/05/2018 - 04:00 PM,Teaching Service,Principal Level P3 - Willoughby Public School
Health - Allied | Counsellor,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/team-leader-youth-drug-alcohol-107991,Full-Time,REQ35291,,"$103,441.00 - $106,026.00",,30/05/2018 - 11:59 PM,Nepean Blue Mountains Local Health District,Team Leader Youth Drug & Alcohol
"Mental Health, Drug & Alcohol",,Regional NSW / Tamworth & North West NSW,,,,https://iworkfor.nsw.gov.au/job/mental-health-clinician-emergency-department-team-111204,Full-Time,REQ36828,,"$61,090.67 - $113,518.00",,29/05/2018 - 11:59 PM,Hunter New England Local Health District,Mental Health Clinician - Emergency Department Team
Engineering,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/high-voltage-electrical-engineer-111202,Full-Time,000066WA,02 4979 9559 - Alix Lasance,"$107,076.00 - $118,000.00",,03/06/2018 - 11:59 PM,Hunter Water Corporation,High Voltage Electrical Engineer
Information and Communications Technology | Management and Supervision,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/change-and-transition-manager-111199,Full-Time,000066UH,02 9765 3143 - Amanda Foran,"Package includes salary ($105,409 - $116,157),plus employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Change and Transition Manager
Information and Communications Technology,1,Regional NSW / Tamworth & North West NSW,,,,https://iworkfor.nsw.gov.au/job/senior-designer-immersive-computing-111197,Full-Time,000065W8,02 9873 0019 - Charles Baker - Oceans Recruitment,"$113,806 Package includes salary, employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,TAFE NSW,Senior Designer Immersive Computing
Policy | Advisory,1,Sydney Region / Sydney - Inner West,,,,https://iworkfor.nsw.gov.au/job/principal-policy-officer-110534,Full-Time,000065XV,02 8574 3550 - Claire Minahan,Transport Service Senior Manager role; attractive salary to be negotiated with the successful candidate,,27/05/2018 - 11:59 PM,"Freight, Strategy & Planning",Principal Policy Officer
Information and Communications Technology,1,Regional NSW / Tamworth & North West NSW,,,,https://iworkfor.nsw.gov.au/job/senior-ar-vr-unity-developer-111191,Full-Time,000065WL,02 9873 0019 - Charles Baker - Oceans Recruitment,"$113,806 Package includes salary, employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,TAFE NSW,Senior AR/VR Unity Developer
Information and Communications Technology | Management and Supervision,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/manager-ict-change-communications-111193,Full-Time,000066WY,02 9765 3448 - Trent Wilson,"Package includes salary ($121,917 - $140,996), plus employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Manager ICT Change & Communications
Information and Communications Technology | Management and Supervision,4,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/manager-business-partnership-111185,Full-Time,000066WT,02 9765 3448 - Trent Wilson,"Package includes salary ($121,917 - $140,996), plus employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Department of Family & Community Services,Manager - Business Partnership
Senior Executive,1,Sydney Region / Sydney - East,,,,https://iworkfor.nsw.gov.au/job/head-of-aboriginal-affairs-111183,Full-Time,000066GY,(02) 9561 8945 - Sorcha O'Neill,"$334,056 - $377,941 per annum.",,30/05/2018 - 11:59 PM,Department of Education,Head of Aboriginal Affairs
Research and Analysis | Analysis,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/spatial-analysis-officer-111176,Full-Time,0000660H,02 8574 3537 - Ahlad Velamati,"Transport Service Grade 7 ($($96,542 - $108,127), plus employer's contribution to superannuation and annual leave loading.",,03/06/2018 - 11:59 PM,Transport Coordination Office,Spatial Analysis Officer
Sales and Marketing | Sales and Marketing,1,Sydney Region / Sydney - North/North West,,,,https://iworkfor.nsw.gov.au/job/manager-corporate-partnerships-111175,Full-Time,00006691,rmilane@zoo.nsw.gov.au - Rhiannon Milane,"Base salary is 112,797 plus super and leave loading = total package $125,025",,03/06/2018 - 11:59 PM,Taronga Conservation Society Australia,"Manager, Corporate Partnerships"
"Mental Health, Drug & Alcohol",1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/forensic-clinical-psychologist-merit-drug-court-109398,Full-Time,REQ36304,,"$92,565.00 - $113,518.00",,30/05/2018 - 11:59 PM,Nepean Blue Mountains Local Health District,Forensic/Clinical Psychologist (MERIT & Drug Court)
Construction and Architecture | Project Management,1,Sydney Region / Sydney - Inner West,,,,https://iworkfor.nsw.gov.au/job/business-engagement-adoption-manager-111165,Full-Time,00006603,(02) 8574 3797 - Jonathan Leard,"Transport Service Grade 9 ($126,194 - $141,336), plus employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,People and Corporate Services,Business Engagement & Adoption Manager
Marketing & Communications | Communications Marketing and Media,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/communications-manager-nsw-health-statewide-biobank-111162,Part-Time,REQ43349,,"$108,255.00 - $123,411.00",,30/05/2018 - 11:59 PM,NSW Health Pathology,"Communications Manager, NSW Health Statewide Biobank"
Governance,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-governance-officer-110593,Full-Time,0000662L,0466 338 024 - Richelle Geelan,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,"Department of Finance, Services and Innovation",Senior Governance Officer
Projects | Project Management,1,Illawarra & South Coast / Wollongong & The South Coast,,,,https://iworkfor.nsw.gov.au/job/project-engineer-bomaderry-111161,Full-Time,00006580,0412 110 613 - Ian Robinson,"RMS Engineer Level 1-2 ($87,459 - $115,947), plus employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Regional & Freight,Project Engineer Bomaderry
Governance | Clinical Governance,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/clinical-specialist-engagement-and-governance-111158,Full-Time,REQ42462,,"$108,255.00 - $123,411.00",,30/05/2018 - 11:59 PM,eHealth NSW,Clinical Specialist  Engagement and Governance
Legal and Justice,1,Illawarra & South Coast / Wollongong & The South Coast,,,,https://iworkfor.nsw.gov.au/job/assistant-manager-juvenile-justice-communuity-office-aboriginal-111157,Full-Time,000066C3,02 4423 0556 - Carol Thomas,"$120,120.Package includes salary (99,204 - 108,373), employer's contribution to superannuation and annual leave",,30/05/2018 - 11:59 PM,Operations,"Assistant Manager , Juvenile Justice Communuity Office (Aboriginal)"
Projects | Program Manager,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/district-safety-and-quality-data-manager-111152,Full-Time,REQ41744,,"$108,255.00 - $123,411.00",,30/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,District Safety and Quality Data Manager
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-oncology-111150,Part-Time,REQ40863,,"$111,667.36 - $113,884.95",,23/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Clinical Nurse Consultant - Oncology
Nursing and Midwifery | Nurse Manager,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/nurse-manager-primary-and-community-nursing-perm-f-t-111151,Full-Time,REQ37314,,"$118,257.51 - $120,454.23",,29/05/2018 - 11:59 PM,South Western Sydney Local Health District,Nurse Manager - Primary and Community Nursing - Perm F/T
Health - Allied | Psychologist,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/clinical-psychologist-liverpool-hospital-permanent-f-t-111145,Full-Time,REQ37202,,"$92,565.00 - $113,518.00",,29/05/2018 - 11:59 PM,South Western Sydney Local Health District,Clinical Psychologist - Liverpool Hospital - Permanent F/T
Health - Allied | Clinical Psychologist,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,,,https://iworkfor.nsw.gov.au/job/clinical-psychologist-clinical-psychologist-in-training-109743,Part-Time,REQ39461,,"$92,565.00 - $113,518.00",,27/05/2018 - 11:59 PM,Hunter New England Local Health District,Clinical Psychologist/ Clinical Psychologist in Training
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-general-rehabilitation-111137,Full-Time,REQ41249,,"$111,667.36 - $113,884.95",,30/05/2018 - 11:59 PM,South Eastern Sydney Local Health District,Clinical Nurse Consultant - General Rehabilitation
"Media, Publicity and Communications | Communications",1,Sydney Region / Sydney - East,,,,https://iworkfor.nsw.gov.au/job/transport-information-officer-111131,Full-Time,000066JL,"Agency Phone Book - SPADACCINI, MARCO","Transport Service Grade 7 ($96,542 - $108,127), plus employer's contribution to superannuation and annual leave loading.",,30/05/2018 - 11:59 PM,Transport Coordination Office,Transport Information Officer
