Job Category:,Number of Positions:,Job Location:,Staffing Area:,Contact:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Closing Date:,Total Remuneration Package:,FTE:,Organisation/Entity:,job_title
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,02 4981 1444 - Dominic Witcom,Tomaree High School,Callaghan/Port Stephens,https://iworkfor.nsw.gov.au/job/teacher-special-education-tomaree-high-school-110984,,000063EU,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Special Education - Tomaree High School
Schools | Teachers,1,Sydney Region,Bankstown,02 9773 8075 - Natalie Armstrong,Padstow North Public School,Bankstown,https://iworkfor.nsw.gov.au/job/teacher-padstow-north-public-school-110985,,000063ZH,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Padstow North Public School
Schools | TCH Other,1,Regional NSW,Moree,02 6757 3000 - Leah Morris,North Star Public School,Barwon,https://iworkfor.nsw.gov.au/job/teaching-principal-level-tp2-north-star-public-school-110986,,00005W1O,30/05/2018 - 04:00 PM,"The total remuneration package will be $149,382.00. This classification attracts a base salary of $134,771.00.",1.000,Teaching Service,Teaching Principal Level TP2 - North Star Public School
Schools | Teachers,1,Regional NSW,Clarence/Coffs Harbour,02 6642 3388 - Peter Hickey,South Grafton Public School,Grafton,https://iworkfor.nsw.gov.au/job/teacher-special-education-south-grafton-public-school-110987,,00006517,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Special Education - South Grafton Public School
Schools | TCH Other,1,Regional NSW,Tweed Heads/Ballina,07 5524 9655 - Mr Corrie Stephenson,Centaur Public School,Tweed,https://iworkfor.nsw.gov.au/job/assistant-principal-centaur-public-school-110988,,000062KN,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Centaur Public School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Newcastle,02 4969 3855 - Anthony Southward,Merewether High School,Newcastle,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-merewether-high-school-110989,,000062RE,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Merewether High School
Schools | Teachers,1,Sydney Region,Northern Beaches,02 9949 4200 - Anna Diggin,Northern Beaches Secondary College Balgowlah Boys Campus,The Beaches,https://iworkfor.nsw.gov.au/job/teacher-technology-northern-beaches-secondary-college-balgowlah-boys-campus-110990,,000065MA,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Technology - Northern Beaches Secondary College Balgowlah Boys Campus
Schools | TCH Other,1,Sydney Region,Northern Beaches,02 9982 0500 - Sally Egan,Killarney Heights Public School,The Forest,https://iworkfor.nsw.gov.au/job/principal-level-p3-killarney-heights-public-school-110991,,0000663I,30/05/2018 - 04:00 PM,"The total remuneration package will be $182,747.00. This classification attracts a base salary of $165,164.00.",1.000,Teaching Service,Principal Level P3 - Killarney Heights Public School
Schools | TCH Other,1,Sydney Region,Ryde,02 9817 2778 - Liz Stanford,Boronia Park Public School,North Sydney,https://iworkfor.nsw.gov.au/job/assistant-principal-boronia-park-public-school-110994,,000064L8,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Boronia Park Public School
Schools | Teachers,1,Regional NSW,Taree,02 6558 1605 - Myree Ribbons,Gloucester High School,Great Lakes,https://iworkfor.nsw.gov.au/job/teacher-technology-gloucester-high-school-110995,,000063Q1,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Technology - Gloucester High School
Schools | TCH Other,1,Sydney Region,Liverpool,9203 9900 - Daryl Currie,Ajuga School,Glenfield,https://iworkfor.nsw.gov.au/job/principal-level-p1-ajuga-school-110996,,000065Z3,30/05/2018 - 04:00 PM,"The total remuneration package will be $153,482.00. This classification attracts a base salary of $138,469.00.",1.000,Teaching Service,Principal Level P1 - Ajuga School
Schools | Teachers,1,Sydney Region,Blacktown,02 9629 1279 - Petra Hocking,Kellyville Public School,The Ponds,https://iworkfor.nsw.gov.au/job/teacher-kellyville-public-school-110997,,000065XL,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Kellyville Public School
Schools | Teachers,1,Sydney Region,Blacktown,02 9629 9577 - Belinda Young,Glenwood High School,The Hills,https://iworkfor.nsw.gov.au/job/teacher-music-glenwood-high-school-110999,,0000643J,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Music - Glenwood High School
Schools | TCH Other,1,Sydney Region,Blacktown,9208 7625 - Stacey Lowe,Lynwood Park Public School,Bungarribee,https://iworkfor.nsw.gov.au/job/principal-level-p2-lynwood-park-public-school-111000,,000066F9,30/05/2018 - 04:00 PM,"The total remuneration package will be $165,090.00. This classification attracts a base salary of $149,039.00.",1.000,Teaching Service,Principal Level P2 - Lynwood Park Public School
Schools | Teachers,1,Sydney Region,Blacktown,02 9626 9655 - Christopher Lambert,Quakers Hill Public School,The Hills,https://iworkfor.nsw.gov.au/job/teacher-quakers-hill-public-school-111001,,00006460,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Quakers Hill Public School
Schools | Teachers,2,Sydney Region,Granville,02 9644 3078 - Jodi Harben,Birrong Public School,Bankstown,https://iworkfor.nsw.gov.au/job/teacher-birrong-public-school-111003,,000062VW,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Birrong Public School
Community | Case Work,6,Illawarra & South Coast / Wollongong & The South Coast|| Regional NSW / Bathurst & Central West NSW|| Regional NSW / Dubbo & West NSW|| Sydney Region / Sydney - Greater West|| Sydney Region / Sydney - East,,(02) 02 6840 2861 - Mareya.Butcher@justice.nsw.gov.au,,,https://iworkfor.nsw.gov.au/job/aboriginal-services-and-programs-officer-clerk-grade-5-6-role-no-24962-25384-19457-24799-24841-sccc-tba-111004,Full-Time,000064EC,31/05/2018 - 11:59 PM,"$99,513. Package includes salary ($81,369 - $89,781), employer's contribution to superannuation and annual leave loading.",,Corrective Services NSW,"Aboriginal Services and Programs Officer  - Clerk Grade 5/6 - Role no: 24962, 25384, 19457, 24799, 24841, SCCC TBA"
Schools | TCH Other,1,Sydney Region,Granville,02 9748 1036 - Mark Harris,Auburn North Public School,Holroyd,https://iworkfor.nsw.gov.au/job/assistant-principal-auburn-north-public-school-111006,,0000635D,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Auburn North Public School
Schools | TCH Other,1,Sydney Region,Fairfield,02 9632 9401 - Ms Robyn Sayers,Merrylands High School,Holroyd,https://iworkfor.nsw.gov.au/job/head-teacher-science-merrylands-high-school-111007,,0000639J,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher Science - Merrylands High School
Schools | Teachers,1,Sydney Region,Hornsby,02 9484 2144 - Kerrie Knox,Cherrybrook Technology High School,Dural,https://iworkfor.nsw.gov.au/job/teacher-human-society-and-its-environment-cherrybrook-technology-high-school-111008,,00006494,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Human Society and its Environment  - Cherrybrook Technology High School
Schools | Teachers,3,Sydney Region,St George,02 9718 4483 - Paul Robinson,Clemton Park Public School,Beverly Hills,https://iworkfor.nsw.gov.au/job/teacher-clemton-park-public-school-111009,,000064XX,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Clemton Park Public School
Schools | TCH Other,1,Sydney Region,Parramatta,02 9624 3311 - Mrs Kim Fawcett,Matthew Pearce Public School,The Hills,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-k-6-matthew-pearce-public-school-111010,,000064R1,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Primary K-6 - Matthew Pearce Public School
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,02 4982 8222 - Allison Thompson,Medowie Public School,Callaghan/Port Stephens,https://iworkfor.nsw.gov.au/job/teacher-special-education-medowie-public-school-111011,,0000635E,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Special Education - Medowie Public School
Schools | Teachers,1,Regional NSW,Tweed Heads/Ballina,02 6684 2600 - Margaret Spiropoulos,Mullumbimby High School,Lismore,https://iworkfor.nsw.gov.au/job/teacher-visual-arts-mullumbimby-high-school-111012,,000064PY,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Visual Arts - Mullumbimby High School
Schools | Teachers,1,Sydney Region,Parramatta,02 9631 8529 - Denise Lockrey,Wentworthville Public School,Holroyd,https://iworkfor.nsw.gov.au/job/teacher-learning-and-support-wentworthville-public-school-111013,,000063I2,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Learning and Support - Wentworthville Public School
Schools | TCH Other,1,Sydney Region,Hornsby,02 9886 7000 - Sue Low,Epping North Public School,Gordon,https://iworkfor.nsw.gov.au/job/principal-level-p2-epping-north-public-school-111015,,000066N3,30/05/2018 - 04:00 PM,"The total remuneration package will be $165,090.00. This classification attracts a base salary of $149,039.00.",1.000,Teaching Service,Principal Level P2 - Epping North Public School
Schools | Teachers,1,Sydney Region,Hornsby,02 9876 4481 - Jonathan Maranik,Cheltenham Girls High School,Dural,https://iworkfor.nsw.gov.au/job/teacher-mathematics-cheltenham-girls-high-school-111018,,000063RF,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Mathematics - Cheltenham Girls High School
Schools | Teachers,1,Sydney Region,Hornsby,02 9484 4242 - Chantal Mamo,Thornleigh West Public School,Hornsby,https://iworkfor.nsw.gov.au/job/teacher-thornleigh-west-public-school-111019,,000065EQ,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Thornleigh West Public School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Lake Macquarie,02 4958 1831 - Todd Osland,Edgeworth Public School,Lake Macquarie West,https://iworkfor.nsw.gov.au/job/assistant-principal-edgeworth-public-school-111020,,000064L9,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Edgeworth Public School
Schools | TCH Other,1,Sydney Region,Liverpool,02 9602 4320 - Jennifer French,Casula High School,Glenfield,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-casula-high-school-111021,,0000659H,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Casula High School
Schools | Teachers,1,Sydney Region,Mount Druitt,02 9628 6885 - Renee Culgan,Niland School,Mount Druitt,https://iworkfor.nsw.gov.au/job/teacher-special-education-niland-school-111022,,000065HQ,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Special Education - Niland School
Schools | Teachers,1,Regional NSW,Clarence/Coffs Harbour,02 6659 3364 - Marc Miller,Coffs Harbour Senior College,Coffs Harbour,https://iworkfor.nsw.gov.au/job/teacher-science-0-6-fte-coffs-harbour-senior-college-111023,,000065LQ,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",0.600,Teaching Service,Teacher Science (0.6 FTE) - Coffs Harbour Senior College
Schools | TCH Other,1,Sydney Region,Liverpool,02 9827 6100 - Jennifer French,Ajuga School,Glenfield,https://iworkfor.nsw.gov.au/job/assistant-principal-special-education-general-ajuga-school-111024,,00005RMG,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00 plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal Special Education - General - Ajuga School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,02 4932 8477 - Aimee Vincent,Telarah Public School,Maitland,https://iworkfor.nsw.gov.au/job/assistant-principal-telarah-public-school-111025,,000064NB,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Telarah Public School
Schools | Teachers,3,Central & North Coasts - Newcastle & Hunter Valley,Maitland,02 4932 5900 - Debbie Ross,Rutherford Public School,Maitland,https://iworkfor.nsw.gov.au/job/teacher-rutherford-public-school-111026,,000066QR,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Rutherford Public School
Schools | TCH Other,1,Sydney Region,Northern Beaches,02  9922 3288 - Unity Taylor-Hill,Anzac Park Public School,North Sydney,https://iworkfor.nsw.gov.au/job/assistant-principal-anzac-park-public-school-111027,,000064JW,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Anzac Park Public School
Schools | Teachers,1,Regional NSW,Tweed Heads/Ballina,02 6684 2600 - Janelle Molyneux,Mullumbimby High School,Lismore,https://iworkfor.nsw.gov.au/job/teacher-mathematics-mullumbimby-high-school-111028,,000064OX,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Mathematics - Mullumbimby High School
Schools | Teachers,1,Sydney Region,Blacktown,02 8824 7330 - Nerida Rylewski,Rouse Hill Public School,The Hills,https://iworkfor.nsw.gov.au/job/teacher-community-language-chinese-mandarin-rouse-hill-public-school-111029,,00006360,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Community Language Chinese (Mandarin) - Rouse Hill Public School
Schools | Teachers,1,Sydney Region,Hornsby,02 9477 3508 - Craig Philip,Asquith Boys High School,Hornsby,https://iworkfor.nsw.gov.au/job/teacher-technology-asquith-boys-high-school-111030,,000062WS,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Technology - Asquith Boys High School
Schools | Teachers,1,Sydney Region,Campbelltown,02 4658 1110 - Natalie Martin,Elderslie High School,Camden,https://iworkfor.nsw.gov.au/job/teacher-technology-elderslie-high-school-111031,,000065UJ,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Technology - Elderslie High School
Schools | TCH Other,1,Sydney Region,Campbelltown,02 4632 4651 - Donna Shevlin,Oran Park Public School,Macarthur,https://iworkfor.nsw.gov.au/job/assistant-principal-oran-park-public-school-111032,,0000635P,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Oran Park Public School
Schools | Teachers,1,Sydney Region,Fairfield,02 9632 9401 - Robyn Sayers,Merrylands High School,Holroyd,https://iworkfor.nsw.gov.au/job/teacher-creative-arts-merrylands-high-school-111033,,000064O4,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher Creative Arts - Merrylands High School
Schools | TCH Other,1,Illawarra & South Coast,Wollongong,0436 604 356 - Debbie Lowe,Corrimal High School,Wollongong North,https://iworkfor.nsw.gov.au/job/principal-level-p3-corrimal-high-school-111034,,000065ZD,30/05/2018 - 04:00 PM,"The total remuneration package will be $182,747.00. This classification attracts a base salary of $165,164.00.",1.000,Teaching Service,Principal Level P3 - Corrimal High School
Schools | TCH Other,1,Regional NSW,Armidale,02 6772 1266 - Scott Breen,Duval High School,Northern Tablelands,https://iworkfor.nsw.gov.au/job/head-teacher-english-duval-high-school-111035,,00005JXS,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00 plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Head Teacher English - Duval High School
Schools | TCH Other,1,Illawarra & South Coast,Wollongong,0436 604 356 - Debbie Lowe,Tarrawanna Public School,Wollongong North,https://iworkfor.nsw.gov.au/job/principal-level-p1-tarrawanna-public-school-111036,,000065WH,30/05/2018 - 04:00 PM,"The total remuneration package will be $153,482.00. This classification attracts a base salary of $138,469.00.",1.000,Teaching Service,Principal Level P1 - Tarrawanna Public School
Schools | TCH Other,1,Sydney Region,Liverpool,02 8783 0859 - Cherie Bradwell,Greenway Park Public School,Glenfield,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-greenway-park-public-school-111037,,00006543,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Primary - Greenway Park Public School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Central Coast,02 4341 9066 - Brent Walker,Brisbane Water Secondary College Umina Campus,Gosford,https://iworkfor.nsw.gov.au/job/deputy-principal-secondary-brisbane-water-secondary-college-umina-campus-111038,,0000633N,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Secondary - Brisbane Water Secondary College Umina Campus
Schools | TCH Other,1,Sydney Region,Sutherland,9531 3900 - Garrie Russell,Minerva School,Woronora River,https://iworkfor.nsw.gov.au/job/principal-level-p1-minerva-school-111039,,0000635U,30/05/2018 - 04:00 PM,"The total remuneration package will be $153,482.00. This classification attracts a base salary of $138,469.00.",1.000,Teaching Service,Principal Level P1 - Minerva School
Schools | Teachers,1,Sydney Region,Parramatta,02 9636 1922 - Sonya Larobina,Metella Road Public School,Nirimba,https://iworkfor.nsw.gov.au/job/teacher-metella-road-public-school-111040,,000064MB,30/05/2018 - 04:00 PM,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,Teaching Service,Teacher - Metella Road Public School
Schools | TCH Other,1,Sydney Region,Parramatta,02 9635 7793 - Davd Jenkins,Westmead Public School,Holroyd,https://iworkfor.nsw.gov.au/job/deputy-principal-primary-westmead-public-school-111041,,000064LI,30/05/2018 - 04:00 PM,"Remuneration package valued at $149,382.00. This position attracts a base salary of $134,771.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Deputy Principal Primary - Westmead Public School
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Lake Macquarie,02 4954 9166 - Anthony Angel,Glendale Technology High School,Lake Macquarie West,https://iworkfor.nsw.gov.au/job/head-teacher-personal-development-health-and-physical-education-glendale-technology-high-school-111042,,000064G2,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,"Head Teacher Personal Development, Health and Physical Education - Glendale Technology High School"
Schools | TCH Other,1,Regional NSW,Taree,02 6554 0249 - Melissa Merchant,Pacific Palms Public School,Great Lakes,https://iworkfor.nsw.gov.au/job/assistant-principal-pacific-palms-public-school-111044,,0000635G,30/05/2018 - 04:00 PM,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,Teaching Service,Assistant Principal - Pacific Palms Public School
