Job Category:,Number of Positions:,Job Location:,Staffing Area:,School Name:,Principal Network:,url_link,Work Type:,Job Reference Number:,Contact:,Total Remuneration Package:,FTE:,Closing Date:,Organisation/Entity:,job_title
Schools | TCH Other,1,Sydney Region,Fairfield,Merrylands High School,Parramatta,https://iworkfor.nsw.gov.au/job/head-teacher-special-education-general-merrylands-high-school-110197,,000065DB,02 9632 9401 - Ms Robyn Sayers,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Head Teacher Special Education - General - Merrylands High School
Schools | TCH Other,1,Regional NSW,Albury,Tumbarumba Public School,Albury,https://iworkfor.nsw.gov.au/job/assistant-principal-tumbarumba-public-school-110201,,000061ZA,02 6948 2048 - Jennifer Lumsden,"Remuneration package valued at $127,944.00. This position attracts a base salary of $115,429.00, plus leave loading and employer's contribution to superannuation.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Assistant Principal - Tumbarumba Public School
Schools | Teachers,1,Sydney Region,Northern Beaches,Stewart House School,Warringah,https://iworkfor.nsw.gov.au/job/teacher-special-education-stewart-house-school-110202,,00005X4I,99383822 - Delphine Annett,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Special Education - Stewart House School
Schools | Teachers,1,Sydney Region,Fairfield,Fairfield High School,Fairfield,https://iworkfor.nsw.gov.au/job/teacher-technology-fairfield-high-school-110203,,000064SP,02 9727 2111 - Fadia Bardouh,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Technology - Fairfield High School
Schools | TCH Other,1,Sydney Region,Mount Druitt,Plumpton House School,Nirimba,https://iworkfor.nsw.gov.au/job/principal-level-p2-plumpton-house-school-110109,,000063OC,02 9208 7611 - Rose Nasso,"The total remuneration package will be $165,090.00. This classification attracts a base salary of $149,039.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Principal Level P2 - Plumpton House School
Schools | Teachers,1,Central & North Coasts - Newcastle & Hunter Valley,Maitland,Thornton Public School,Maitland,https://iworkfor.nsw.gov.au/job/teacher-thornton-public-school-110114,,0000620U,02 4964 1369 - Mrs Vickie Hooson,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher - Thornton Public School
Schools | TCH Other,1,Sydney Region,Ryde,Lindfield East Public School,Ku-Ring-Gai,https://iworkfor.nsw.gov.au/job/principal-level-p3-lindfield-east-public-school-110146,,000060S0,02 9982 0500 - Sally Egan,"The total remuneration package will be $182,747.00. This classification attracts a base salary of $165,164.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Principal Level P3 - Lindfield East Public School
Schools | TCH Other,1,Sydney Region,Windsor,Kurrajong North Public School,Hawkesbury,https://iworkfor.nsw.gov.au/job/teaching-principal-level-tp2-kurrajong-north-public-school-110150,,000062Z8,02 9208 7611 - Kerri Brickley,"The total remuneration package will be $149,382.00. This classification attracts a base salary of $134,771.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teaching Principal Level TP2 - Kurrajong North Public School
Schools | TCH Other,1,Illawarra & South Coast,Queanbeyan,Finigan School of Distance Education,Queanbeyan,https://iworkfor.nsw.gov.au/job/principal-level-p4-finigan-school-of-distance-education-110170,,000065YT,02 6200 5000 - Matthew Brown,"The total remuneration package will be $190,655.00. This classification attracts a base salary of $172,386.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Principal Level P4 - Finigan School of Distance Education
Schools | TCH Other,1,Central & North Coasts - Newcastle & Hunter Valley,Muswellbrook,Mount Pleasant Public School,Upper Hunter,https://iworkfor.nsw.gov.au/job/teaching-principal-level-tp2-mount-pleasant-public-school-110172,,000065ZC,02 4931 3500 - Sean Andrews,"The total remuneration package will be $149,382.00. This classification attracts a base salary of $134,771.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teaching Principal Level TP2 - Mount Pleasant Public School
Schools | TCH Other,1,Illawarra & South Coast,Batemans Bay,Bermagui Public School,Far South Coast,https://iworkfor.nsw.gov.au/job/principal-level-p1-bermagui-public-school-110190,,000062JH,"02 6200 5000 - Murray Campbell, Director Educational Leadership","The total remuneration package will be $153,482.00. This classification attracts a base salary of $138,469.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Principal Level P1 - Bermagui Public School
Schools | Teachers,1,Sydney Region,Liverpool,John Edmondson High School,Liverpool,https://iworkfor.nsw.gov.au/job/teacher-technological-and-applied-studies-john-edmondson-high-school-110199,,000061XB,02 9825 9815 - Anne Violi,"Remuneration package valued at up to $118,332.00. Base salary ranges from $67,248.00 to $106,758.00, plus leave loading and employer's contribution to superannuation. Base salary rates above the minimum are available depending on experience.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Teacher Technological and Applied Studies - John Edmondson High School
Schools | TCH Other,1,Sydney Region,Blacktown,Quakers Hill High School,Nirimba,https://iworkfor.nsw.gov.au/job/principal-level-p4-quakers-hill-high-school-110305,,000064R7,02 9208 7611 - Rose Nasso,"The total remuneration package will be $190,655.00. This classification attracts a base salary of $172,386.00.",1.000,23/05/2018 - 04:00 PM,Teaching Service,Principal Level P4 - Quakers Hill High School
Patient Support Services | Management - Patient Support Services,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/operations-manager-patient-transport-service-north-ryde-110100,Full-Time,REQ37564,,"$108,255.00 - $123,411.00",,23/05/2018 - 11:59 PM,HealthShare NSW,Operations Manager - Patient Transport Service (North Ryde)
Senior Executive,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/director-fleet-services-finance-and-business-services-parramatta-nsw-police-force-110096,Full-Time,000065V3,0403 192 822 or mark@k2.net.au - Mark Kerry,"Salary: $190,000 to $215,000",,27/05/2018 - 11:59 PM,Corporate Services,"Director Fleet Services - Finance and Business Services, Parramatta - NSW Police Force"
Senior Executive,1,Sydney Region / Sydney - Greater West,,,,https://iworkfor.nsw.gov.au/job/group-director-strategic-procurement-strategic-procurement-and-contract-services-finance-and-business-services-parramatta-nsw-police-force-110097,Full-Time,000065UQ,0403 192 822 or mark@k2.net.au - Mark Kerry,"Salary: $220,000 to $250,000",,27/05/2018 - 11:59 PM,Corporate Services,"Group Director - Strategic Procurement - Strategic Procurement and Contract Services, Finance and Business Services, Parramatta - NSW Police Force"
Procurement | Tender Process/Evaluation,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/procurement-and-contract-management-analyst-110089,Full-Time,000065I8,02 9228 4951 - Ward Young,"Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,22/05/2018 - 11:59 PM,NSW Treasury,Procurement and Contract Management Analyst
Primary and Community Care,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/connections-program-manager-hm2-tft-up-to-3-jul-2020-110079,Full-Time,REQ39833,,"$93,099.00 - $110,422.00",,22/05/2018 - 11:59 PM,Justice Health & Forensic Mental Health Network,Connections Program Manager (HM2) - TFT up to 3 Jul 2020
Nursing and Midwifery | Clinical Midwife Consultant,1,"Central & North Coasts - Newcastle & Hunter Valley / Gosford, Central Coast and Region",,,,https://iworkfor.nsw.gov.au/job/clinical-midwifery-consultant-grade-2-complex-care-coordinator-cckf-110080,Full-Time,REQ38648,,"$111,667.36 - $113,884.95",,21/05/2018 - 11:59 PM,Central Coast Local Health District,Clinical Midwifery Consultant Grade 2 - Complex Care Coordinator CCKF
Primary and Community Care,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/adolescent-court-and-community-team-clinician-hm2-tft-or-tpt-x-2-up-to-23-apr-2019-110083,Full-Time,REQ40590,,"$93,099.00 - $110,422.00",,22/05/2018 - 11:59 PM,Justice Health & Forensic Mental Health Network,Adolescent Court and Community Team Clinician (HM2) - TFT or TPT x 2 up to 23 Apr 2019
Planning | Town Planning,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-planning-officer-planning-panels-110017,Full-Time,0000653O,02 8217 2061 - Stuart Withington,"Package includes base salary of ($112,797.00 - $120,731.00), plus employer's contribution to superannuation and annual leave loading.",,20/05/2018 - 11:59 PM,Planning,Senior Planning Officer - Planning Panels
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,,,https://iworkfor.nsw.gov.au/job/senior-research-nurse-cnc3-pft-110085,Full-Time,REQ40846,,"$118,257.51 - $120,454.23",,22/05/2018 - 11:59 PM,Justice Health & Forensic Mental Health Network,Senior Research Nurse (CNC3) - PFT
Research and Analysis | Strategy,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-analyst-strategy-110072,Full-Time,000064EY,02 9334 9239 - Angela French,"$113,465. Package includes salary ($92,470 - $102,359), employer's contribution to superannuation and annual leave loading.",,22/05/2018 - 11:59 PM,"Department of Finance, Services and Innovation",Senior Analyst Strategy
Human Resources and Recruitment | Consulting and Generalist HR,1,Sydney Region / Sydney - West,,,,https://iworkfor.nsw.gov.au/job/rostering-manager-110059,Full-Time,REQ40786,,"$93,099.00 - $110,422.00",,18/05/2018 - 11:59 PM,HealthShare NSW,Rostering Manager
Projects | Project Officer,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/statewide-test-catalogue-project-officer-110053,Full-Time,REQ41540,,"$93,099.00 - $110,422.00",,22/05/2018 - 11:59 PM,NSW Health Pathology,Statewide Test Catalogue Project Officer
Policy | Advisory,3,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-operational-policy-officer-110047,Full-Time,000064CN,(02) 9995 5437 - Michele Weight,"Up to $124,994. Package includes salary ($ 101,221- $112,760), employer's contribution to superannuation and annual leave loading.",,22/05/2018 - 11:59 PM,Regulatory Services,Senior Operational Policy Officer
"Media, Publicity and Communications | Ministerial Services",1,Sydney Region / Sydney - Inner West,,,,https://iworkfor.nsw.gov.au/job/cabinet-services-officer-110043,Full-Time,00006525,02 8202 2981 - Michael Hannon,"Transport Service Grade 7 ($96,542 - $108,127), plus employer's contribution to superannuation and annual leave loading.",,27/05/2018 - 11:59 PM,Customer Services Division,Cabinet Services Officer
Governance | Clinical Governance,1,Location Negotiable,,,,https://iworkfor.nsw.gov.au/job/associate-director-clinical-governance-mnclhd-location-negotiable-perm-fulltime-110048,Full-Time,REQ39316,,"$142,897.00 - $160,221.00",,22/05/2018 - 11:59 PM,Mid North Coast Local Health District,Associate Director - Clinical Governance - MNCLHD Location Negotiable - Perm Fulltime
Policy,1,Sydney Region / Sydney City,,,,https://iworkfor.nsw.gov.au/job/senior-policy-officer-110045,Full-Time,000063Q0,Suzanne Fosbery - Ph: (02) 9212 9388 E: suzanne.fosbery@justice.nsw.gov.au,"Maximum Total Remuneration Package: $128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,23/05/2018 - 11:59 PM,Office for Police,Senior Policy Officer
