Job Category:,Number of Positions:,Job Location:,Contact:,url_link,Work Type:,Job Reference Number:,Closing Date:,Total Remuneration Package:,Contact Email:,Organisation/Entity:,job_title
Nursing and Midwifery | Nursing Unit Manager,1,Illawarra & South Coast / Wollongong & The South Coast,,https://iworkfor.nsw.gov.au/job/nurse-unit-manager-level-3-shoalhaven-cancer-care-centre-109909,Full-Time,REQ40288,20/05/2018 - 11:59 PM,"$115,747.72 - $115,747.72",,Illawarra Shoalhaven Local Health District,Nurse Unit Manager Level 3 - Shoalhaven Cancer Care Centre
CEO | Director,1,Sydney Region,0408 964 005 - Julie Rose,https://iworkfor.nsw.gov.au/job/director-finance-and-commercial-109573,Full-Time,000065NY,18/05/2018 - 11:59 PM,"Total remuneration package range is from $183,300 to $261,450",,Planning and Environment,Director Finance and Commercial
Administration and Clerical,2,Sydney Region / Sydney - East,02 8268 1441 - Julie Barnett,https://iworkfor.nsw.gov.au/job/dispute-resolution-officer-109886,Full-Time,000065GD,21/05/2018 - 11:59 PM,"Salary range $105,409 - $116,157 plus employers contribution to superannuation and annual leave loading.",,State Insurance Regulatory Authority ( SIRA),Dispute Resolution Officer
Education And/Or Training,3,Sydney Region / Sydney City,02 9268 6354 - Rose Cantwell,https://iworkfor.nsw.gov.au/job/senior-registration-officer-109885,Full-Time,0000653C,28/05/2018 - 11:59 PM,"Total remuneration package valued up to $152,266 per annum includes salary ($137,362 per annum), employer's contribution to superannuation and annual leave loading.",,NSW Education Standards Authority,Senior Registration Officer
Nursing and Midwifery | Clinical Midwife Consultant,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,https://iworkfor.nsw.gov.au/job/clinical-midwifery-consultant-grade-1-clinical-governance-and-risk-management-ballina-109893,Part-Time,REQ37941,21/05/2018 - 11:59 PM,"$107,305.23 - $109,496.73",,Northern NSW Local Health District,Clinical Midwifery Consultant  Grade 1: Clinical Governance and Risk Management - Ballina
Information and Communications Technology | Systems Administration,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/principal-ict-enterprise-architect-and-solutions-delivery-109894,Full-Time,REQ39227,21/05/2018 - 11:59 PM,"$121,917.00 - $127,085.00",,NSW Ministry of Health,Principal ICT Enterprise Architect and Solutions Delivery
Education And/Or Training,1,Statewide,02 8233 2518 - Cathryn Kennedy Head,https://iworkfor.nsw.gov.au/job/head-teacher-band-2-higher-education-early-childhood-109887,Full-Time,00006619,21/05/2018 - 11:59 PM,"$129,681.  Package includes salary ($116,988), employer's contribution to superannuation and annual leave loading.",,TAFE Commission,Head Teacher Band 2 Higher Education/ Early Childhood
Nursing and Midwifery | Nurse Practitioner,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,https://iworkfor.nsw.gov.au/job/nurse-practitioner-emergency-casino-109895,Part-Time,REQ38230,21/05/2018 - 11:59 PM,"$118,257.51 - $126,621.74",,Northern NSW Local Health District,"Nurse Practitioner, Emergency - Casino"
Nursing and Midwifery | Clinical Nurse Consultant,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-grade-3-infection-prevention-and-control-ballina-109897,Full-Time,REQ38565,21/05/2018 - 11:59 PM,"$118,257.51 - $120,454.23",,Northern NSW Local Health District,"Clinical Nurse Consultant Grade 3,  Infection Prevention and Control - Ballina"
Nursing and Midwifery | Nurse Practitioner,2,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,https://iworkfor.nsw.gov.au/job/nurse-practitioner-tweed-mental-health-services-109888,Full-Time,REQ38373,21/05/2018 - 11:59 PM,"$118,257.51 - $126,621.74",,Northern NSW Local Health District,Nurse Practitioner - Tweed Mental Health Services
Information and Communications Technology | Analysts,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/senior-business-analyst-project-manager-emr-connect-109879,Full-Time,REQ40620,21/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,eHealth NSW,Senior Business Analyst/Project Manager  eMR Connect
Information and Communications Technology | Development and Programming,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/business-services-manager-ris-pacs-program-109870,Full-Time,REQ40539,21/05/2018 - 11:59 PM,"$108,255.00 - $123,411.00",,eHealth NSW,Business Services Manager  RIS/PACS Program
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region / Sydney - West,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-self-management-support-109860,Full-Time,REQ37999,22/05/2018 - 11:59 PM,"$118,257.51 - $120,454.23",,Western Sydney Local Health District,Clinical Nurse Consultant Self Management Support
"Media, Publicity and Communications | Communications",1,Sydney Region / Sydney - North/North West,0476 827 800 - Emma Zatz,https://iworkfor.nsw.gov.au/job/communications-manager-109856,Full-Time,000064OF,20/05/2018 - 11:59 PM,"RMS USS Grade 10 ($117,291 - $128,178), plus employer's contribution to superannuation and annual leave loading.",,Business Services,Communications Manager
Information and Communications Technology | Network and Server Management,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/solution-architect-ris-pacs-program-109866,Full-Time,REQ40484,21/05/2018 - 11:59 PM,"$142,897.00 - $160,221.00",,eHealth NSW,Solution Architect  RIS/PACS Program
Contract & Procurement | Contract and Procurement Management,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/category-contracts-manager-109854,Full-Time,REQ38574,21/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,South Eastern Sydney Local Health District,Category Contracts Manager
Health - Allied | Occupational Therapy,1,Central & North Coasts - Newcastle & Hunter Valley / Lismore & Far North Coast,,https://iworkfor.nsw.gov.au/job/senior-occupational-therapist-assessment-rehabilitation-unit-murwillumbah-109855,Full-Time,REQ29534,21/05/2018 - 11:59 PM,"$103,441.00 - $106,026.00",,Northern NSW Local Health District,Senior Occupational Therapist - Assessment & Rehabilitation Unit Murwillumbah
Engineering | Maintenance,1,Sydney Region / Sydney - Greater West,(02) 4724 4962 - Ravi Kant,https://iworkfor.nsw.gov.au/job/senior-mechanical-engineer-109841,Full-Time,0000658G,20/05/2018 - 11:59 PM,"Salary range $117,291 - $123,127 plus employers contribution to superannuation and annual leave loading.",,SafeWork NSW,Senior Mechanical Engineer
Education And/Or Training,1,Statewide,02 8233 2352 - Carly Jardine,https://iworkfor.nsw.gov.au/job/head-teacher-band-1-2-community-services-west-region-109835,Full-Time,00006604,21/05/2018 - 11:59 PM,"$129,681.  Package includes salary ($107,671 - $116,988), employer's contribution to superannuation and annual leave loading.",,TAFE Commission,Head Teacher Band 1/2  Community Services (West Region)
Education And/Or Training,1,Statewide,02 8233 2352 - Carly Jardine,https://iworkfor.nsw.gov.au/job/head-teacher-band-1-2-community-services-west-region-109834,Full-Time,000065ZZ,21/05/2018 - 11:59 PM,"$129,681.  Package includes salary ($107,671 - $116,988), employer's contribution to superannuation and annual leave loading.",,TAFE Commission,Head Teacher Band 1/2  Community Services (West Region)
Education And/Or Training,1,Statewide,02 8233 2352 - Carly Jardine,https://iworkfor.nsw.gov.au/job/head-teacher-band-1-2-sport-fitness-west-region-109822,Full-Time,000065ZS,21/05/2018 - 11:59 PM,"$129,681.  Package includes salary ($107,671 - $116,988), employer's contribution to superannuation and annual leave loading.",,TAFE Commission,Head Teacher Band 1/2 - Sport & Fitness (West Region)
Regulatory and Compliance,1,Sydney Region,02 80160100 - Anna Kearsley,https://iworkfor.nsw.gov.au/job/compliance-officer-109817,Full-Time,000065Z0,21/05/2018 - 11:59 PM,INSW grade 5 (Comparable to Clerks 7/8 range),,Infrastructure NSW,Compliance Officer
Information and Communications Technology | Systems Administration,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/senior-systems-engineer-109819,Full-Time,REQ40664,20/05/2018 - 11:59 PM,"$142,897.00 - $160,221.00",,eHealth NSW,Senior Systems Engineer
Senior Executive,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,02 9091 3241 - Rob Macmillan,https://iworkfor.nsw.gov.au/job/director-finance-109813,Full-Time,000065Z6,20/05/2018 - 11:59 PM,"$212,549.00 - $234,492.00",,Health Executive Service,"Director, Finance"
Projects | Project Management,1,Sydney Region / Sydney City,0448 925 459 - Dylan Connell,https://iworkfor.nsw.gov.au/job/project-development-manager-109808,Full-Time,000065L7,20/05/2018 - 11:59 PM,"RMS USS 10 ($117,291 - $128,178), plus employer's contribution to superannuation and annual leave loading.",,Technical & Project Services,Project Development Manager
Health - Allied | Social Worker,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/health-professional-educator-social-work-109810,Full-Time,REQ33943,21/05/2018 - 11:59 PM,"$111,329.00 - $114,113.00",,Northern Sydney Local Health District,Health Professional Educator (Social Work)
Projects | Program Management,1,Sydney Region / Sydney - Greater West,(02) 8633 1318 - Reid Barton,https://iworkfor.nsw.gov.au/job/project-lead-project-management-clerk-grade-9-10-193014-109807,Full-Time,000065D0,21/05/2018 - 11:59 PM,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Department of Education,"Project Lead, Project Management - Clerk Grade 9/10 - 193014"
Nursing and Midwifery | Clinical Nurse Consultant,1,Regional NSW / Tamworth & North West NSW,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-grade-2-109809,Full-Time,REQ39905,21/05/2018 - 11:59 PM,"$111,667.36 - $113,884.95",,Hunter New England Local Health District,Clinical Nurse Consultant - Grade 2
Nursing and Midwifery | Nurse Manager,1,Illawarra & South Coast / Wollongong & The South Coast,,https://iworkfor.nsw.gov.au/job/whole-of-health-mental-health-lead-108473,Full-Time,REQ37805,20/05/2018 - 11:59 PM,"$111,667.36 - $113,884.95",,Illawarra Shoalhaven Local Health District,Whole of Health (Mental Health) Lead
Information and Communications Technology | Project Management,1,Sydney Region / Sydney - Greater West,Neal.Stirton@justice.nsw.gov.au 02 8688 8091 - Neal Stirton,https://iworkfor.nsw.gov.au/job/specialist-solutions-senior-project-officer-digital-and-technology-services-109795,Full-Time,000060ND,21/05/2018 - 11:59 PM,"Maximum Total Remuneration Package: $128,749. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Corporate Services,"Specialist Solutions Senior Project Officer, Digital and Technology Services"
Health - Allied | Occupational Therapy,1,"Central & North Coasts - Newcastle & Hunter Valley / Newcastle, Hunter & Region",,https://iworkfor.nsw.gov.au/job/occupational-therapist-109787,Full-Time,REQ28589,21/05/2018 - 11:59 PM,"$103,441.00 - $106,026.00",,Hunter New England Local Health District,Occupational Therapist
Information and Communications Technology,1,Sydney Region / Sydney - East,mark.bradley19@det.nsw.edu.au - Mark Bradley,https://iworkfor.nsw.gov.au/job/senior-database-specialist-clerk-grade-9-10-206438-109008,Full-Time,000064O8,21/05/2018 - 11:59 PM,"$128,760. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Department of Education,"Senior Database Specialist, Clerk Grade 9/10 - 206438"
Accounting and Financial | Cost Accounting|| Accounting and Financial | Credit Review/Analysis|| Accounting and Financial | Financial Analysis/Research/Reporting|| Accounting and Financial | Financial Control/Management|| Accounting and Financial | General Accounting|| Accounting and Financial | Investment Management|| Accounting and Financial | Management Accounting|| Accounting and Financial | Risk Management/Compliance|| Accounting and Financial | Tax Accounting|| Administration and Clerical | Claims Processing|| Administration and Clerical | Filing and Records Management|| Administration and Clerical | Reception and Switchboard|| Administration and Clerical | Office Management|| Governance | Audit|| Governance | Continuous Improvement|| Governance | Quality Management|| Administration and Clerical | General Administration|| Accounting and Financial | Corporate Services|| Administration and Clerical | Administration Officers,,Sydney Region / Sydney City,,https://iworkfor.nsw.gov.au/job/manager-governance-finance-support-109918,Full-Time,497158,22/05/2018 - 11:55 PM,Clerk Grade 11/12,,Department of Industry - Liquor & Gaming NSW,Manager Governance Finance & Support
Policy,1,Sydney Region / Sydney City,02 8265 5781 - Fiona Perrin,https://iworkfor.nsw.gov.au/job/principal-policy-officer-106888,Full-Time,00005ZUD,18/05/2018 - 11:59 PM,"$156,294. Package includes salary ($121,917 - $140,996), employers contribution to superannuation and annual leave loading.",,Government and Corporate Services,Principal Policy Officer
Administration and Clerical | Medical Officers,,Regional NSW / Tamworth & North West NSW,07 5506 7584 - Rebekah Napier,https://iworkfor.nsw.gov.au/job/senior-medical-officer-critical-care-and-emergency-109804,Casual,430065,21/05/2018 - 11:59 PM,"$152,309.00 - $180,876.00",TweedJMOManager@ncahs.health.nsw.gov.au,Northern NSW Local Health District,Senior Medical Officer (Critical Care and Emergency)
Health - Medical Positions|| Health - Medical Positions | Registrar,,Sydney Region / Sydney City,8382 3611 - Dr Priya Nair,https://iworkfor.nsw.gov.au/job/trainee-intensive-care-medicine-109904,Full-Time,17591,27/05/2018 - 11:59 PM,"$96,798.00 - $121,393.00",Priya.Nair@svha.org.au,St Vincent's Health Network,Trainee - Intensive Care Medicine
Projects | Project Officer,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/project-officer-cervical-109779,Full-Time,REQ40839,27/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,Cancer Institute (NSW),Project Officer (Cervical)
Projects | Project Officer,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/project-officer-breastscreen-109778,Full-Time,REQ40840,27/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,Cancer Institute (NSW),"Project Officer, Breastscreen"
"Mental Health, Drug & Alcohol",1,Regional NSW / Riverina & Murray,,https://iworkfor.nsw.gov.au/job/community-mental-health-clinican-youth-mental-health-worker-young-109774,Part-Time,REQ34653,21/05/2018 - 11:59 PM,"$61,090.67 - $113,518.00",,Murrumbidgee Local Health District,Community Mental Health Clinican (Youth Mental Health Worker) - Young
"Mental Health, Drug & Alcohol",1,Regional NSW / Riverina & Murray,,https://iworkfor.nsw.gov.au/job/community-mental-health-clinician-adult-young-109771,Part-Time,REQ38308,21/05/2018 - 11:59 PM,"$61,090.67 - $113,518.00",,Murrumbidgee Local Health District,Community Mental Health Clinician (Adult) - Young
"Mental Health, Drug & Alcohol",2,Regional NSW / Riverina & Murray,,https://iworkfor.nsw.gov.au/job/mental-health-emergency-consultation-services-clinician-wagga-wagga-109770,Full-Time,REQ38124,21/05/2018 - 11:59 PM,"$61,090.67 - $113,518.00",,Murrumbidgee Local Health District,Mental Health Emergency Consultation Services Clinician - Wagga Wagga
Primary and Community Care,1,Regional NSW / Riverina & Murray,,https://iworkfor.nsw.gov.au/job/aged-and-extended-care-manager-wagga-wagga-109768,Full-Time,REQ40376,21/05/2018 - 11:59 PM,"$93,099.00 - $110,422.00",,Murrumbidgee Local Health District,Aged and Extended Care Manager - Wagga Wagga
Information and Communications Technology | Analysts,1,Sydney Region / Sydney - West,,https://iworkfor.nsw.gov.au/job/application-specialist-pas-him-109765,Full-Time,REQ39847,18/05/2018 - 11:59 PM,"$96,419.00 - $112,335.00",,Western Sydney Local Health District,Application Specialist  PAS HIM
Administration and Clerical | Executive Support and Secretarial,1,Sydney Region / Sydney City,(02) 8263 6368 - Nicole Miller - Director,https://iworkfor.nsw.gov.au/job/administrative-manager-office-of-the-commissioner-sydney-cbd-nsw-police-force-109761,Full-Time,000065AG,20/05/2018 - 11:59 PM,"$128,179. Package includes salary ($105,409 - $116,157), employer's contribution to superannuation and annual leave loading.",,Commissioners Office,"Administrative Manager - Office of the Commissioner, Sydney CBD - NSW Police Force"
Projects | Project Manager,1,Sydney Region / Sydney - West,,https://iworkfor.nsw.gov.au/job/project-manager-business-intelligence-109760,Full-Time,REQ38714,18/05/2018 - 11:59 PM,"$121,246.00 - $145,063.00",,HealthShare NSW,Project Manager Business Intelligence
Nursing and Midwifery | Nursing Unit Manager,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,,https://iworkfor.nsw.gov.au/job/nurse-unit-manager-109718,Full-Time,REQ19931,20/05/2018 - 11:59 PM,"$112,710.93 - $112,710.93",,Hunter New England Local Health District,Nurse Unit Manager
Senior Executive,1,Sydney Region / Sydney City,02 9228 3478 - James Serafine,https://iworkfor.nsw.gov.au/job/chief-of-staff-109755,Full-Time,000062U2,18/05/2018 - 11:59 PM,Salary Package negotiable,,The Treasury,Chief of Staff
"Arts, Sports and Recreation | Curation",1,Sydney Region / Sydney City,9225 1845 - Carolyn Murphy,https://iworkfor.nsw.gov.au/job/time-based-art-conservator-grade-3-109750,Full-Time,000065O5,18/05/2018 - 11:59 PM,"Total salary package valued up to $114,553 per annum including salary range $98,170 to $103,340 plus 9.5% employers contribution to superannuation and annual leave loading.",,Art Gallery of NSW,Time-Based Art Conservator grade 3
Information and Communications Technology | Database Administration,1,Sydney Region / Sydney - North/North West,"0409 486 352 - Ian Downes, Head of Information and Data Management",https://iworkfor.nsw.gov.au/job/master-data-analyst-109744,Full-Time,000065NU,21/05/2018 - 11:59 PM,"$125,619. Package includes salary ($102,667 - $113,324), employer's contribution to superannuation and annual leave loading.",,TAFE NSW,Master Data Analyst
Health - Allied | Clinical Psychologist,1,Sydney Region / Sydney - West,,https://iworkfor.nsw.gov.au/job/clinical-psychologist-camhs-109749,Part-Time,REQ37311,18/05/2018 - 11:59 PM,"$92,565.00 - $113,518.00",,Nepean Blue Mountains Local Health District,Clinical Psychologist - CAMHS
Community,1,Regional NSW / Dubbo & West NSW,6885 7104 or Lyall.gibbs2@facs.nsw.gov.au - Lyall Gibbs,https://iworkfor.nsw.gov.au/job/aboriginal-senior-relationship-officer-clients-109719,Full-Time,0000641B,20/05/2018 - 11:59 PM,Completed by Recruitment,,Department of Family & Community Services,Aboriginal Senior Relationship Officer - Clients
"Mental Health, Drug & Alcohol",1,Regional NSW / Dubbo & West NSW,,https://iworkfor.nsw.gov.au/job/clinical-leader-community-mental-health-drug-alcohol-services-92139,Full-Time,REQ4614,03/06/2018 - 11:59 PM,"$107,305.23 - $109,496.73",,Western NSW Local Health District,Clinical Leader - Community Mental Health Drug & Alcohol Services
Human Resources and Recruitment | Payroll and Remuneration Administration,1,Sydney Region / Sydney - Greater West,"02 4724 8274 - Liz Stralow, Manager TAFE Payroll and System Support",https://iworkfor.nsw.gov.au/job/system-support-lead-109738,Full-Time,000065O7,20/05/2018 - 11:59 PM,"$113,806 Package includes salary ($102,667 - $113,324), employer's contribution to superannuation and annual leave loading.",,TAFE NSW,System Support Lead
"Mental Health, Drug & Alcohol",1,Regional NSW / Dubbo & West NSW,,https://iworkfor.nsw.gov.au/job/clinical-leader-community-mental-health-drug-alcohol-services-93779,Full-Time,REQ4617,03/06/2018 - 11:59 PM,"$107,305.23 - $109,496.73",,Western NSW Local Health District,Clinical Leader - Community Mental Health Drug & Alcohol Services
Planning | Traffic and Transport Planning,1,Sydney Region / Sydney - Greater West,0429 100 409 - Shefali Uppal,https://iworkfor.nsw.gov.au/job/portfolio-manager-109730,Full-Time,0000659K,20/05/2018 - 11:59 PM,"RMS USS Grade 11 ($132,140 - $140,996), plus employer's contribution to superannuation and annual leave loading.",,Sydney,Portfolio Manager
Senior Executive,1,Sydney Region / Sydney City,02 9228 4951 - Ward Young,https://iworkfor.nsw.gov.au/job/director-productivity-branch-109734,Full-Time,0000659T,18/05/2018 - 11:59 PM,Competitive Salary on offer,,The Treasury,Director - Productivity Branch
Marketing & Communications | Communications Marketing and Media,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/communication-specialist-ris-pacs-program-109735,Full-Time,REQ40659,18/05/2018 - 11:59 PM,"$121,246.00 - $145,063.00",,eHealth NSW,Communication Specialist - RIS/PACS Program
Legal and Justice | Solicitor,1,Central & North Coasts - Newcastle & Hunter Valley / Port Macquarie & Mid-North Coast,02 4908 6133 - Christine Lovell-Jones,https://iworkfor.nsw.gov.au/job/senior-solicitor-legal-officer-iv-family-law-ongoing-port-macquarie-109728,Full-Time,0000637W,21/05/2018 - 11:59 PM,"Up to $132,459. Package includes salary ($117,291 - $119,548 pa), employer's contribution to superannuation and annual leave loading.",,"Legal Aid Commission, Office of the",Senior Solicitor - Legal Officer IV - Family Law - Ongoing - Port Macquarie
Prisons and Security | Security Services,10,Sydney Region / Sydney - North/North West,Jeremy.Leach@justice.nsw.gov.au - Jeremy Leach,https://iworkfor.nsw.gov.au/job/learning-and-development-officer-assistant-superintendent-assistant-superintendent-5d-ongoing-corrective-services-academy-brush-farm-eastwo-109729,Full-Time,000065J7,18/05/2018 - 11:59 PM,"Fixed salary ( $108,520) plus employer's contribution to superannuation and annual leave loading.",,Corrective Services NSW,Learning and Development Officer (Assistant Superintendent) - Assistant Superintendent 5D - Ongoing -  Corrective Services Academy - Brush Farm Eastwood
Health - Medical Positions | Technical Assistance,1,Sydney Region / Sydney - Inner West,0435 960 490 - Srivatsa Lakshmi Narayana,https://iworkfor.nsw.gov.au/job/technical-specialist-wso-000061fi-109725,Full-Time,000061FI,20/05/2018 - 11:59 PM,"RC Grade 5 ($100,531 - $115,960), plus employer's contribution to superannuation and annual leave loading.",,Maintenance,Technical Specialist WSO 000061FI
Nursing and Midwifery | Clinical Nurse Consultant,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/clinical-nurse-consultant-grade-3-endocrinology-109724,Part-Time,REQ38910,18/05/2018 - 11:59 PM,"$118,257.51 - $120,454.23",,Sydney Children's Hospital Network,Clinical Nurse Consultant Grade 3 - Endocrinology
Customer Services and Call Centre | Management and Support,1,Sydney Region / Sydney City,0466 461 004 - Monica Radevski,https://iworkfor.nsw.gov.au/job/senior-design-lead-wayfinding-109721,Full-Time,000065Q2,20/05/2018 - 11:59 PM,"Transport Service Grade 9 ($126,194 - $141,336), plus employer's contribution to superannuation and annual leave loading.",,Customer Services Division,Senior Design Lead - Wayfinding
Accounting and Financial | Financial Analysis/Research/Reporting,1,Sydney Region,,https://iworkfor.nsw.gov.au/job/manager-financial-reporting-accounting-109723,Full-Time,REQ40346,18/05/2018 - 11:59 PM,"$142,897.00 - $160,221.00",,South Eastern Sydney Local Health District,Manager Financial Reporting & Accounting
Projects,2,Sydney Region / Sydney - Greater West,0429 100 409 - Shefali Uppal,https://iworkfor.nsw.gov.au/job/portfolio-leader-x-2-109720,Full-Time,0000659I,20/05/2018 - 11:59 PM,"RMS USS Grade 10 ($117,291 - $128,178), plus employer's contribution to superannuation and annual leave loading.",,Sydney,Portfolio Leader x 2
